"Country","Informal_Economy_Indicator","score_global_du_projet","score_du_projet_CBDC_de_detail","score_du_projet_CBDC_de_gros","interet_de_recherche_normalise","Indice_des_discours_des_banquiers_centraux_normalise","interet_de_recherche","indice_de_position_des_banquiers_centraux","Classement_general_de_l_indice","Classement_de_la_valeur_des_services_centralises_recus","Classement_de_la_valeur_des_services_centralises_reçus_dans_le_commerce_de_detail","Classement_du_volume_d_echange_pair_a_pair_P2P","Classement_de_la_valeur_recue_en_DeFi","Classement_de_la_valeur_reçue_en_DeFi_de_detail","Global Innovation Index: Global Innovation Index","Mobile cellular subscriptions (per 100 people)","Trade (% of GDP)","I_E_DGE"
"Bulgaria",32.7,0,0,0,0.620588265240518,-0.365377127548227,8.30075187969925,0,62.987012987013,66.0130718954248,63.3986928104575,35.2941176470588,75.8169934640523,75.8169934640523,39.5,117.4346239,138.182829385718,27.8
"Cabo Verde",37.2,0,0,0,-0.685964046956471,-0.365377127548227,0,0,0.649350649350649,0.65359477124183,0.65359477124183,9.15032679738562,0,0,25.7,99.2317289,97.6658245729405,29
"Cambodia",44.2,0,0,0,-0.685964046956471,-0.365377127548227,0,0,81.1688311688312,71.2418300653595,72.5490196078431,64.0522875816993,89.5424836601307,89.5424836601307,20.5,116.3256071,123.187132420505,35
"Canada",16,2,1,2,2.36798363567426,0.0340665991742757,19.4022556390977,0.111111111111111,88.3116883116883,84.3137254901961,85.6209150326797,60.1307189542484,91.5032679738562,91.5032679738562,50.8,91.23062536,67.5588963664949,13.9
"Chile",19.4,1,1,0,1.54724629101067,-1.56370830771574,14.187969924812,-0.333333333333333,56.4935064935065,57.516339869281,58.1699346405229,50.9803921568627,55.5555555555556,55.5555555555556,34,134.7453263,75.0183543505302,15.4
"China",11.6,2,2,2,0.00256876805509579,1.79161899675329,4.37436756652433,0.6,93.5064935064935,94.1176470588235,97.3856209150327,92.156862745098,85.6209150326797,85.6209150326797,55.3,124.8775379,38.1438180344238,8
"Colombia",36.7,1,1,1,1.14190737169231,-0.365377127548227,11.6127819548872,0,79.8701298701299,84.9673202614379,84.9673202614379,90.1960784313726,70.5882352941177,70.5882352941177,29.2,155.7854178,48.366169752763,28.7
"Costa Rica",25.9,0,0,0,-0.685964046956471,-0.365377127548227,0,0,40.9090909090909,45.7516339869281,35.2941176470588,33.3333333333333,44.4444444444444,44.4444444444444,28.7,152.0251489,79.6591953322609,20.5
"Croatia",30.6,0,0,0,1.18096192450254,-0.365377127548227,11.8609022556391,0,34.4155844155844,41.1764705882353,39.8692810457516,29.4117647058824,38.562091503268,38.562091503268,35.6,111.1680153,124.517667153713,28.4
"Cuba",NA,0,0,0,-0.685964046956471,-0.365377127548227,0,0,12.3376623376623,14.3790849673203,18.3006535947712,11.7647058823529,13.0718954248366,13.0718954248366,NA,67.78418241,88.8030369932668,NA
"Cyprus",28.6,0,0,0,-0.685964046956471,3.2296164129543,0,1,20.7792207792208,23.5294117647059,21.5686274509804,5.88235294117647,28.7581699346405,28.7581699346405,46.2,NA,189.757457608813,25.2
"Czech Republic",17.6,1,1,0,1.56914051001034,-2.16287389779949,14.3270676691729,-0.5,60.3896103896104,62.0915032679739,61.437908496732,39.8692810457516,71.8954248366013,71.8954248366013,42.8,128.4101866,151.923058221456,16.7
"Denmark",17.1,1,1,0,1.53126942849739,-2.16287389779949,14.0864661654135,-0.5,27.9220779220779,32.6797385620915,32.0261437908497,10.4575163398693,31.3725490196078,31.3725490196078,55.9,126.549332,128.929664027636,16.1
"Dominican Republic",29.7,1,1,0,-0.685964046956471,-0.365377127548227,0,0,54.5454545454545,59.4771241830065,62.7450980392157,71.2418300653595,37.9084967320261,37.9084967320261,22.7,90.39141331,54.2315255592457,26
"Ecuador",33.4,2,2,0,-0.685964046956471,-0.365377127548227,0,0,72.7272727272727,69.9346405228758,71.2418300653595,86.2745098039216,63.3986928104575,63.3986928104575,20.3,97.16544081,57.6902636218873,27.3
"Egypt",31.6,0,0,0,0.843672604777776,-0.365377127548227,9.71804511278195,0,77.9220779220779,81.6993464052288,81.6993464052288,84.9673202614379,67.9738562091503,67.9738562091503,22.7,93.20626903,36.9831048772713,29.3
"El Salvador",45.5,0,0,0,-0.685964046956471,-0.365377127548227,0,0,38.961038961039,48.3660130718954,48.3660130718954,43.1372549019608,30.0653594771242,30.0653594771242,19.9,181.6273204,86.7985873250777,40.7
"Estonia",29.6,1,1,0,-0.685964046956471,-0.365377127548227,0,0,31.1688311688312,33.9869281045752,40.5228758169935,9.80392156862745,46.4052287581699,46.4052287581699,50.2,155.0300061,171.56748086042,26.4
"Ethiopia",34.3,0,0,0,-0.685964046956471,-0.365377127548227,0,0,77.2727272727273,75.1633986928105,75.8169934640523,95.4248366013072,54.2483660130719,54.2483660130719,16.3,56.02453443,26.566835641128,22.7
"Fiji",33,1,1,0,-0.685964046956471,-0.365377127548227,0,0,1.94805194805195,7.84313725490196,9.80392156862745,11.1111111111111,1.30718954248366,1.30718954248366,NA,NA,117.259370200043,29.8
"Finland",17.8,1,1,0,1.70405623790025,-0.365377127548227,15.1842105263158,0,36.3636363636364,37.2549019607843,37.2549019607843,20.2614379084967,48.3660130718954,48.3660130718954,56.9,128.6830329,93.0707012752831,15.8
"France",15.4,2,1,2,1.4188396552558,2.77310929670001,13.3721804511278,0.873015873015873,85.7142857142857,83.6601307189542,82.3529411764706,64.7058823529412,86.9281045751634,86.9281045751634,55,118.8472962,73.2498526008188,14
"Georgia",61.8,1,1,0,-0.685964046956471,-0.365377127548227,0,0,66.8831168831169,67.3202614379085,67.9738562091503,41.1764705882353,75.1633986928105,75.1633986928105,27.9,156.086567,115.63860350213,58.2
"Germany",15.6,0,0,0,1.44428428814732,0.867192086338353,13.5338345864662,0.342857142857143,83.7662337662338,85.6209150326797,83.6601307189542,61.437908496732,84.3137254901961,84.3137254901961,57.2,125.2251369,99.880339763878,14.8
"Ghana",37.7,2,2,0,0.20163942600344,-0.365377127548227,5.6390977443609,0,81.8181818181818,80.3921568627451,81.0457516339869,98.0392156862745,52.2875816993464,52.2875816993464,20.8,119.6243981,70.5881560105699,35.5
"Greece",30.2,0,0,0,1.07918339293647,2.03128523278679,11.2142857142857,0.666666666666667,51.2987012987013,55.5555555555556,53.5947712418301,32.6797385620915,60.7843137254902,60.7843137254902,34.5,109.0631741,107.99680403281,26
"Guatemala",50.6,0,0,0,-0.685964046956471,-0.365377127548227,0,0,33.1168831168831,43.7908496732026,50.9803921568627,18.3006535947712,35.2941176470588,35.2941176470588,17.8,115.1820498,54.669957138484,46.1
"Guinea",35.6,0,0,0,-0.685964046956471,-0.365377127548227,0,0,31.8181818181818,15.0326797385621,16.3398692810458,49.6732026143791,52.9411764705882,52.9411764705882,11.6,NA,107.477660146757,30.4
